per_plot V2 V3 V4 V5 V6 V7 V8 V9 V10 V11 V12 V13 V14 V15 V16 V17 V18 V19 V20 V21 V22 V23
temp_spectre.99 50000000.5 35 9 2 2 2 1 0 11 2 1 0 0 1 0 0 0 0 0 0 1 1 0
temp_spectre.100 50500000.5 47 12 1 2 3 4 0 12 4 1 0 0 0 1 2 0 0 0 1 1 0 0
temp_spectre.101 51000000.5 57 16 1 4 4 4 0 6 2 3 0 0 4 1 2 0 0 0 1 4 0 3
temp_spectre.102 51500000.5 49 12 2 3 1 4 0 2 0 4 1 0 4 0 0 1 0 3 2 4 0 3
temp_spectre.103 52000000.5 36 13 4 0 2 3 1 0 0 2 1 1 0 0 0 1 1 3 2 0 0 0
temp_spectre.104 52500000.5 67 25 6 8 5 4 4 0 2 1 1 1 1 4 0 1 1 0 1 1 0 1
temp_spectre.105 53000000.5 82 27 7 10 4 4 3 1 2 2 3 3 4 5 1 2 0 0 1 1 0 2
temp_spectre.106 53500000.5 65 27 4 3 2 0 3 1 1 1 5 5 6 1 1 1 0 1 2 0 0 1
temp_spectre.107 54000000.5 71 29 14 4 1 2 4 0 1 0 3 2 3 0 0 0 2 1 2 0 3 0
temp_spectre.108 54500000.5 75 23 16 11 2 3 1 0 0 1 2 0 2 3 1 1 4 0 1 0 3 0
temp_spectre.109 55000000.5 77 21 8 9 4 5 2 7 1 1 2 0 2 3 1 1 3 1 1 0 1 3
temp_spectre.110 55500000.5 71 19 10 2 2 7 4 8 2 1 0 3 1 0 0 0 1 1 1 1 3 4
temp_spectre.111 56000000.5 87 29 8 9 3 4 3 1 2 2 1 4 7 1 0 0 0 3 3 1 2 1
temp_spectre.112 56500000.5 93 27 7 11 6 1 1 4 5 2 4 1 8 2 1 0 0 3 4 3 0 1
temp_spectre.113 57000000.5 72 21 5 3 5 0 6 5 4 2 4 0 2 2 1 0 2 0 2 5 2 1
temp_spectre.114 57500000.5 68 27 3 3 2 0 13 1 1 3 2 0 0 3 4 0 2 0 0 2 2 0
temp_spectre.115 58000000.5 57 23 5 3 2 1 7 1 1 2 2 0 0 3 4 0 0 1 0 0 0 0
temp_spectre.116 58500000.5 62 23 4 3 5 2 3 1 2 0 1 2 0 4 1 1 0 2 1 1 3 0
temp_spectre.117 59000000.5 74 20 5 8 5 6 3 2 4 0 1 2 0 3 1 2 0 1 3 2 3 0
temp_spectre.118 59500000.5 65 18 5 8 4 5 2 2 2 1 1 1 2 1 0 3 0 0 3 3 2 0
temp_spectre.119 60000000.5 43 18 3 3 2 0 2 1 0 1 0 1 2 1 0 2 1 1 1 2 2 0
temp_spectre.120 60500000.5 41 17 5 5 0 3 0 2 1 1 0 1 1 0 0 0 3 1 0 0 0 0
temp_spectre.121 61000000.5 72 17 7 16 2 3 1 3 4 2 0 1 3 0 1 0 2 0 4 1 1 0
temp_spectre.122 61500000.5 73 9 4 25 6 0 2 2 5 2 1 0 4 1 1 0 0 0 4 3 1 0
temp_spectre.123 62000000.5 60 11 1 18 6 1 6 0 2 1 1 3 2 2 1 1 1 0 0 3 0 0
temp_spectre.124 62500000.5 44 12 1 5 5 1 6 0 0 0 0 6 0 1 1 1 1 1 0 1 0 0
temp_spectre.125 63000000.5 57 10 6 11 5 0 2 1 0 2 2 8 1 1 1 1 0 1 0 0 2 0
temp_spectre.126 63500000.5 63 14 10 13 3 0 2 1 3 2 2 5 1 1 1 1 1 0 0 0 2 0
temp_spectre.127 64000000.5 27 7 7 3 3 0 1 0 3 0 0 0 1 0 0 0 1 0 0 0 1 0
temp_spectre.128 64500000.5 41 12 13 2 3 1 0 0 0 0 0 1 6 0 1 0 0 0 0 0 2 0
temp_spectre.129 65000000.5 49 17 10 7 2 1 1 0 2 0 0 1 6 0 1 0 0 0 0 0 1 0
temp_spectre.130 65500000.5 35 12 3 7 3 0 1 2 3 2 1 0 1 0 0 0 0 0 0 0 0 0
temp_spectre.131 66000000.5 32 8 6 4 3 3 0 3 2 2 1 0 0 0 0 0 0 0 0 0 0 0
temp_spectre.132 66500000.5 24 4 7 2 3 3 2 1 1 0 0 0 0 0 0 0 0 0 0 1 0 0
temp_spectre.133 67000000.5 52 10 16 4 5 1 8 2 1 0 0 1 0 0 0 0 0 1 0 2 0 0
temp_spectre.134 67500000.5 58 9 16 4 3 3 7 2 1 1 2 2 0 0 0 0 0 4 0 2 0 0
temp_spectre.135 68000000.5 30 5 4 2 0 4 1 0 1 1 2 1 0 0 0 1 0 3 3 1 0 0
temp_spectre.136 68500000.5 23 11 0 2 0 2 0 0 2 0 0 0 0 0 0 2 0 0 3 1 0 0
temp_spectre.137 69000000.5 45 24 5 1 0 2 0 1 2 0 2 1 1 0 0 2 1 0 0 1 2 0
temp_spectre.138 69500000.5 65 27 8 7 0 2 1 3 1 0 2 1 2 0 2 2 1 0 0 1 4 0
temp_spectre.139 70000000.5 69 18 6 10 1 0 14 3 0 6 1 0 1 0 2 1 1 0 0 1 2 0
temp_spectre.140 70500000.5 70 18 9 8 2 1 13 1 2 6 1 2 0 1 0 0 2 2 0 0 1 0
temp_spectre.141 71000000.5 65 24 10 6 1 6 1 1 2 3 0 3 0 2 0 0 1 2 0 1 1 0
temp_spectre.142 71500000.5 65 21 7 5 3 8 3 2 0 5 1 1 0 2 0 0 0 1 2 2 1 0
temp_spectre.143 72000000.5 73 26 9 3 11 7 3 1 0 2 1 0 0 1 0 0 1 1 3 1 2 0
temp_spectre.144 72500000.5 61 24 11 0 8 5 1 0 2 1 0 0 0 0 0 0 1 1 2 0 1 1
temp_spectre.145 73000000.5 48 12 7 2 1 2 0 3 3 1 0 0 4 0 0 1 2 1 3 1 0 2
temp_spectre.146 73500000.5 60 22 4 8 4 2 0 3 1 1 0 0 4 0 0 1 2 0 3 1 1 1
temp_spectre.147 74000000.5 44 18 6 8 3 1 1 0 0 1 0 0 0 0 0 1 0 0 2 1 1 0
temp_spectre.148 74500000.5 40 12 5 3 1 9 1 0 3 0 0 0 0 0 0 1 0 0 2 2 0 1
temp_spectre.149 75000000.5 75 25 2 4 9 18 2 1 5 0 0 0 0 0 0 0 0 0 1 2 1 1
