per_plot V2 V3 V4 V5 V6 V7
temp_spectre.140 70500000.5 63 3 4 17 8 2
temp_spectre.141 71000000.5 55 3 2 18 1 0
temp_spectre.142 71500000.5 92 6 4 9 8 13
temp_spectre.143 72000000.5 137 7 6 12 8 13
temp_spectre.144 72500000.5 88 4 2 8 7 0
temp_spectre.145 73000000.5 25 2 0 4 6 0
temp_spectre.146 73500000.5 30 3 0 4 0 0
temp_spectre.147 74000000.5 50 6 0 10 0 0
temp_spectre.148 74500000.5 57 6 2 7 0 0
temp_spectre.149 75000000.5 36 3 2 1 0 0
temp_spectre.150 75500000.5 15 0 6 2 0 0
temp_spectre.151 76000000.5 29 0 6 6 1 0
temp_spectre.152 76500000.5 27 8 0 6 1 0
temp_spectre.153 77000000.5 18 8 0 1 1 0
temp_spectre.154 77500000.5 30 3 1 3 2 2
temp_spectre.155 78000000.5 59 14 4 5 3 3
temp_spectre.156 78500000.5 83 23 8 5 3 4
temp_spectre.157 79000000.5 52 12 5 4 1 3
temp_spectre.158 79500000.5 7 0 0 2 0 0
temp_spectre.159 80000000.5 51 14 3 4 3 2
temp_spectre.160 80500000.5 71 19 5 5 4 4
temp_spectre.161 81000000.5 29 6 2 2 2 3
temp_spectre.162 81500000.5 18 4 0 1 2 1
temp_spectre.163 82000000.5 42 6 1 5 4 7
temp_spectre.164 82500000.5 31 3 1 4 3 7
temp_spectre.165 83000000.5 26 0 0 0 5 14
temp_spectre.166 83500000.5 30 0 0 0 6 14
temp_spectre.167 84000000.5 37 12 2 2 1 4
temp_spectre.168 84500000.5 44 16 2 5 0 4
temp_spectre.169 85000000.5 33 6 0 3 1 3
temp_spectre.170 85500000.5 27 2 0 0 1 4
temp_spectre.171 86000000.5 7 0 0 0 1 1
temp_spectre.172 86500000.5 4 0 0 0 1 0
temp_spectre.173 87000000.5 2 0 0 0 0 0
temp_spectre.174 88000000.5 25 9 5 4 0 0
temp_spectre.175 88500000.5 48 13 5 4 0 0
temp_spectre.176 89000000.5 37 9 0 0 0 2
temp_spectre.177 89500000.5 16 5 0 0 0 4
temp_spectre.178 90000000.5 7 1 0 0 1 3
temp_spectre.179 90500000.5 58 9 11 2 5 13
temp_spectre.180 91000000.5 247 40 24 4 10 27
temp_spectre.181 91500000.5 232 37 13 2 11 17
temp_spectre.182 92000000.5 90 15 1 0 7 10
temp_spectre.183 92500000.5 58 12 1 0 2 8
temp_spectre.184 93000000.5 12 3 0 0 0 0
temp_spectre.185 93500000.5 12 2 0 0 0 0
temp_spectre.186 94000000.5 10 2 0 0 0 0
temp_spectre.187 94500000.5 6 2 0 0 0 0
temp_spectre.188 95000000.5 9 1 0 0 0 0
temp_spectre.189 95500000.5 22 2 3 1 3 1
temp_spectre.190 96000000.5 38 4 3 1 3 1
temp_spectre.191 96500000.5 248 36 33 15 18 17
temp_spectre.192 97000000.5 233 35 33 16 18 20
temp_spectre.193 97500000.5 11 2 0 1 0 3
temp_spectre.194 98000000.5 9 2 0 0 1 0
