per_plot V2 V3 V4 V5 V6 V7 V8 V9 V10 V11 V12 V13 V14 V15 V16 V17 V18 V19 V20 V21 V22 V23
temp_spectre.234 118000000.5 85 26 6 3 6 10 1 5 6 0 4 2 6 0 0 2 0 2 0 0 3 1
temp_spectre.235 118500000.5 84 20 7 9 5 11 1 4 6 3 3 0 3 0 0 3 0 2 0 0 3 0
temp_spectre.236 119000000.5 81 20 5 13 7 4 5 10 1 3 1 1 0 1 0 4 1 1 0 1 0 0
temp_spectre.237 119500000.5 83 19 8 9 8 6 4 6 4 4 2 3 0 2 0 3 1 1 1 1 0 0
temp_spectre.238 120000000.5 56 13 8 4 6 6 0 1 3 4 1 3 0 1 0 0 1 0 1 4 0 0
temp_spectre.239 120500000.5 64 14 13 3 7 3 0 4 2 1 3 3 2 1 0 0 1 0 0 5 2 0
temp_spectre.240 121000000.5 81 15 15 8 3 3 0 3 3 2 4 5 2 6 0 0 0 0 4 1 5 2
temp_spectre.241 121500000.5 98 20 8 13 2 1 2 0 1 1 1 6 1 6 0 4 1 2 10 7 5 5
temp_spectre.242 122000000.5 94 18 8 9 2 2 2 2 0 0 0 3 4 2 1 5 9 6 6 8 2 3
temp_spectre.243 122500000.5 51 12 5 3 1 2 1 2 0 1 1 0 3 2 1 1 8 4 0 3 0 0
temp_spectre.244 123000000.5 141 25 7 24 3 1 4 6 6 4 3 4 3 8 2 3 6 2 6 8 6 8
temp_spectre.245 123500000.5 163 29 10 25 9 3 4 6 7 3 4 5 3 7 3 6 7 2 9 6 6 8
temp_spectre.246 124000000.5 56 19 7 3 7 2 1 0 1 1 2 1 0 1 1 3 2 0 4 0 0 0
temp_spectre.247 124500000.5 32 17 3 0 0 1 0 1 1 1 2 0 0 2 1 0 1 0 1 0 0 0
temp_spectre.248 125000000.5 25 12 1 0 0 2 0 2 1 0 2 0 0 1 1 0 0 0 0 1 1 0
temp_spectre.249 125500000.5 44 11 5 2 5 3 4 4 2 1 1 0 0 2 0 0 0 0 0 1 2 0
temp_spectre.250 126000000.5 80 14 11 2 7 6 6 3 5 3 4 0 0 7 0 3 0 3 0 0 1 0
temp_spectre.251 126500000.5 83 18 14 3 4 6 3 1 4 6 5 0 0 5 0 3 0 3 1 0 0 1
temp_spectre.252 127000000.5 62 18 9 3 6 6 3 1 1 4 3 0 0 1 0 0 0 0 3 0 0 1
temp_spectre.253 127500000.5 69 13 21 8 4 6 4 0 0 1 1 3 1 1 1 0 1 0 2 0 0 0
temp_spectre.254 128000000.5 83 17 26 9 1 3 4 1 3 2 1 5 2 0 1 2 3 0 2 1 0 0
temp_spectre.255 128500000.5 70 16 7 3 2 3 6 4 5 2 2 2 2 2 0 2 6 0 3 1 2 0
temp_spectre.256 129000000.5 60 17 2 5 2 2 4 3 2 1 1 0 3 3 0 0 4 2 3 2 3 1
temp_spectre.257 129500000.5 55 17 2 5 2 7 2 1 0 3 1 0 3 1 0 0 2 2 2 2 1 1
temp_spectre.258 130000000.5 71 28 6 3 2 8 2 1 4 3 1 1 1 0 0 1 2 1 0 1 2 0
temp_spectre.259 130500000.5 86 35 8 4 3 2 3 0 5 0 2 1 1 1 0 3 0 1 2 2 10 0
temp_spectre.260 131000000.5 103 40 3 4 5 9 9 3 5 0 2 1 1 1 0 3 0 1 2 4 10 0
temp_spectre.261 131500000.5 104 35 4 7 11 9 11 4 5 1 1 1 1 1 1 1 0 1 0 5 2 2
temp_spectre.262 132000000.5 94 16 12 11 9 1 6 4 3 8 2 0 4 2 2 1 1 3 0 5 0 2
temp_spectre.263 132500000.5 91 17 13 8 3 2 2 4 4 7 3 0 4 3 3 2 1 5 0 4 1 1
temp_spectre.264 133000000.5 77 18 7 4 5 3 4 1 3 13 2 1 1 2 2 1 0 2 0 3 1 1
temp_spectre.265 133500000.5 77 19 6 2 8 3 4 2 4 14 0 3 2 1 0 1 1 1 1 2 1 1
temp_spectre.266 134000000.5 83 31 5 6 6 4 3 3 4 2 0 2 2 6 0 2 1 1 2 0 1 1
temp_spectre.267 134500000.5 92 33 8 6 3 3 10 6 2 4 1 0 1 5 0 1 0 0 1 0 2 1
temp_spectre.268 135000000.5 92 33 9 1 3 1 10 7 1 4 1 3 1 1 3 0 0 0 1 0 2 2
temp_spectre.269 135500000.5 88 25 2 2 7 1 4 6 3 2 3 4 1 1 8 3 0 0 3 3 1 2
temp_spectre.270 136000000.5 96 21 5 11 7 1 7 4 5 1 3 1 2 0 5 4 0 0 4 5 4 1
temp_spectre.271 136500000.5 88 27 8 13 4 0 5 1 3 1 4 1 2 0 3 2 1 0 3 2 5 1
temp_spectre.272 137000000.5 90 24 9 8 5 3 4 2 4 1 6 2 3 1 3 1 5 1 2 1 4 1
temp_spectre.273 137500000.5 83 21 8 9 4 6 4 4 3 0 3 1 5 2 0 0 5 1 2 1 2 0
temp_spectre.274 138000000.5 62 10 8 7 6 3 2 4 2 0 1 1 3 2 3 4 1 0 2 0 0 0
temp_spectre.275 138500000.5 69 12 12 2 9 3 4 1 3 0 0 1 2 4 3 7 0 0 2 1 0 0
temp_spectre.276 139000000.5 81 24 7 0 8 5 11 0 1 0 1 1 3 3 1 7 1 0 2 2 0 0
temp_spectre.277 139500000.5 80 24 5 2 4 5 10 1 3 0 2 1 2 1 5 4 2 1 1 1 0 1
temp_spectre.278 140000000.5 93 20 5 9 2 4 4 7 5 1 4 4 2 2 4 2 4 2 1 2 2 1
temp_spectre.279 140500000.5 102 26 4 10 2 4 4 8 6 2 4 5 1 1 1 2 4 4 4 2 2 2
temp_spectre.280 141000000.5 67 20 3 8 1 4 2 4 6 1 1 1 0 2 1 0 1 3 3 1 0 2
temp_spectre.281 141500000.5 49 6 3 7 3 8 2 3 5 0 2 1 0 2 0 0 1 1 0 1 1 0
temp_spectre.282 142000000.5 78 12 11 2 8 7 2 4 7 4 4 3 2 1 2 0 1 4 0 0 3 0
temp_spectre.283 142500000.5 88 19 11 3 6 0 1 4 4 5 2 3 5 5 4 2 4 6 0 0 2 0
temp_spectre.284 143000000.5 72 14 6 4 1 1 0 4 1 5 1 1 6 5 3 2 8 3 2 1 0 1
temp_spectre.285 143500000.5 79 15 5 6 4 4 2 6 1 5 1 3 4 1 1 3 4 3 2 4 1 1
temp_spectre.286 144000000.5 108 21 9 9 9 6 2 4 0 1 11 6 3 2 2 8 1 4 2 5 1 0
temp_spectre.287 144500000.5 110 23 9 8 5 6 5 2 4 0 13 4 2 2 3 7 2 2 4 4 4 0
temp_spectre.288 145000000.5 94 21 10 8 2 6 8 4 5 1 2 2 1 0 1 4 3 3 2 2 6 0
temp_spectre.289 145500000.5 79 21 12 6 2 4 4 10 2 1 0 1 1 0 0 3 2 2 0 0 2 0
temp_spectre.290 146000000.5 71 19 8 6 2 2 4 11 2 0 1 4 0 1 1 1 0 0 0 1 3 0
temp_spectre.291 146500000.5 87 28 15 6 2 1 4 6 3 0 2 4 2 3 2 0 1 0 0 2 3 1
temp_spectre.292 147000000.5 95 39 16 5 1 0 2 2 3 7 3 0 2 2 5 0 1 0 1 1 1 1
temp_spectre.293 147500000.5 76 24 8 6 2 3 5 0 2 8 3 0 0 5 4 1 0 0 1 1 1 0
temp_spectre.294 148000000.5 69 19 4 5 3 8 5 2 1 6 2 0 0 6 0 4 1 0 0 2 0 0
temp_spectre.295 148500000.5 87 32 9 6 6 5 3 6 1 5 1 1 1 2 1 3 1 1 0 1 0 0
temp_spectre.296 149000000.5 83 25 12 8 7 5 2 4 2 1 2 1 1 2 1 1 2 1 1 1 1 2
temp_spectre.297 149500000.5 65 11 5 12 4 8 2 4 3 1 3 0 0 3 0 1 2 0 2 1 1 2
temp_spectre.298 150000000.5 37 6 1 8 2 4 4 4 2 0 1 0 0 2 0 0 0 0 1 0 2 0
temp_spectre.299 150500000.5 7 1 0 0 1 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0
