low_bound_theta upper_bound_theta mid_wind_theta Nmb_Positions_theta Nb_SNP_theta pop1 pop2 pop3 pop4 pop1+pop2+pop3+pop4
temp_spectre.42 2.1e+07 2.2e+07 21500000.5 123 123 0.148690153568202 0.274821384577482 0.214777092825873 0.218428184281843 0.226575262268302
temp_spectre.43 21500000 22500000 22000000.5 84 84 0.194708994708995 0.262987012987013 0.228414442700157 0.233333333333333 0.23729329130026
temp_spectre.44 2.2e+07 2.3e+07 22500000.5 55 55 0.153939393939394 0.239118457300276 0.157442557442557 0.181818181818182 0.197423714496885
temp_spectre.45 22500000 23500000 23000000.5 88 88 0.139393939393939 0.211432506887052 0.119380619380619 0.147727272727273 0.166099144757681
temp_spectre.46 2.3e+07 2.4e+07 23500000.5 103 103 0.211650485436893 0.232127096204766 0.163874959991465 0.206472491909385 0.215712143251807
temp_spectre.47 23500000 24500000 24000000.5 83 83 0.234270414993307 0.251004016064257 0.198861379584271 0.219277108433735 0.24534374431524
temp_spectre.48 2.4e+07 2.5e+07 24500000.5 75 75 0.228740740740741 0.282020202020202 0.237216117216117 0.219555555555556 0.266790553619822
temp_spectre.49 24500000 25500000 25000000.5 73 73 0.195129375951294 0.273972602739726 0.240704500978474 0.182648401826484 0.249502808139627
temp_spectre.50 2.5e+07 2.6e+07 25500000.5 61 61 0.181056466302368 0.208395429706905 0.185011709601874 0.0786885245901639 0.18862931018069
temp_spectre.51 25500000 26500000 26000000.5 149 149 0.215063385533184 0.24405125076266 0.236005605133122 0.25503355704698 0.240207656151346
temp_spectre.52 2.6e+07 2.7e+07 26500000.5 150 150 0.180888888888889 0.222020202020202 0.217216117216117 0.301777777777778 0.225760743321719
temp_spectre.53 26500000 27500000 27000000.5 62 62 0.113978494623656 0.177663734115347 0.173520028358738 0.327956989247312 0.196789179873366
temp_spectre.54 2.7e+07 2.8e+07 27500000.5 66 66 0.158922558922559 0.283746556473829 0.276057276057276 0.282828282828283 0.270967514869954
temp_spectre.55 27500000 28500000 28000000.5 68 68 0.127450980392157 0.24331550802139 0.25759534583064 0.120588235294118 0.213448794151807
temp_spectre.56 2.8e+07 2.9e+07 28500000.5 70 70 0.0796825396825397 0.170995670995671 0.200156985871272 0.0647619047619048 0.157458105193297
temp_spectre.57 28500000 29500000 29000000.5 84 84 0.0925925925925926 0.199134199134199 0.164573521716379 0.0928571428571429 0.171409214092141
temp_spectre.58 2.9e+07 3e+07 29500000.5 93 93 0.0994026284348865 0.191593352883675 0.142030012997755 0.100358422939068 0.158755135938456
temp_spectre.59 29500000 30500000 30000000.5 62 62 0.139068100358423 0.157869012707722 0.1487061325771 0.152688172043011 0.163969128170544
temp_spectre.60 3e+07 3.1e+07 30500000.5 54 54 0.176954732510288 0.187149270482604 0.184778184778185 0.179012345679012 0.200455972813696
temp_spectre.61 30500000 31500000 31000000.5 80 80 0.1925 0.239393939393939 0.275961538461538 0.2 0.252526132404181
temp_spectre.62 3.1e+07 3.2e+07 31500000.5 74 74 0.205405405405405 0.251228501228501 0.282150282150282 0.204504504504504 0.2636783124588
temp_spectre.63 31500000 32500000 32000000.5 103 103 0.128155339805825 0.161370991468079 0.200149365197909 0.162459546925566 0.179876639265699
temp_spectre.64 3.2e+07 3.3e+07 32500000.5 118 118 0.104896421845574 0.156522855675398 0.163065747811511 0.12316384180791 0.15003248095435
temp_spectre.65 32500000 33500000 33000000.5 59 59 0.114124293785311 0.187211093990755 0.128888061091451 0.100564971751412 0.141872871513219
temp_spectre.66 3.3e+07 3.4e+07 33500000.5 49 49 0.151473922902494 0.235621521335807 0.208342677730433 0.161904761904762 0.216359714617554
temp_spectre.67 33500000 34500000 34000000.5 50 50 0.126222222222222 0.295151515151515 0.248131868131868 0.18 0.250220673635308
temp_spectre.68 3.4e+07 3.5e+07 34500000.5 63 63 0.127336860670194 0.285233285233285 0.256584685156114 0.225396825396825 0.249156573198385
temp_spectre.69 34500000 35500000 35000000.5 71 71 0.158059467918623 0.241570635936833 0.217768147345612 0.223474178403756 0.220902651682452
temp_spectre.70 3.5e+07 3.6e+07 35500000.5 74 74 0.150750750750751 0.178746928746929 0.146421146421146 0.13963963963964 0.15484822801896
temp_spectre.71 35500000 36500000 36000000.5 92 92 0.188888888888889 0.176548089591568 0.159340659340659 0.0992753623188406 0.17319345553704
temp_spectre.72 3.6e+07 3.7e+07 36500000.5 87 87 0.206896551724138 0.169104841518635 0.199444233926993 0.0934865900383142 0.191490781902893
temp_spectre.73 36500000 37500000 37000000.5 67 67 0.167495854063018 0.17345092718227 0.187797277349516 0.122388059701493 0.177925702497963
temp_spectre.74 3.7e+07 3.8e+07 37500000.5 51 51 0.174291938997821 0.228461081402258 0.170437405731523 0.198692810457516 0.199813258636788
temp_spectre.75 37500000 38500000 38000000.5 54 54 0.17037037037037 0.245230078563412 0.215099715099715 0.218518518518519 0.225233363444746
temp_spectre.76 3.8e+07 3.9e+07 38500000.5 63 63 0.205291005291005 0.226310726310726 0.213326356183499 0.197883597883598 0.221503235440518
temp_spectre.77 38500000 39500000 39000000.5 55 55 0.201212121212121 0.230578512396694 0.182617382617383 0.166060606060606 0.208974765072326
temp_spectre.78 3.9e+07 4e+07 39500000.5 30 30 0.193333333333333 0.298484848484849 0.215018315018315 0.173333333333333 0.250987224157956
temp_spectre.79 39500000 40500000 40000000.5 217 217 0.427035330261137 0.400502723083368 0.409378639793386 0.282642089093702 0.389462472636576
temp_spectre.80 4e+07 4.1e+07 40500000.5 286 286 0.387956487956488 0.342710319983047 0.371474679166987 0.24009324009324 0.349033080740398
temp_spectre.81 40500000 41500000 41000000.5 116 116 0.221455938697318 0.183516196447231 0.231527093596059 0.137931034482759 0.217940245904922
temp_spectre.82 4.1e+07 4.2e+07 41500000.5 96 96 0.143287037037037 0.226010101010101 0.193337912087912 0.217361111111111 0.217636953155246
temp_spectre.83 41500000 42500000 42000000.5 112 112 0.115873015873016 0.229707792207792 0.182594191522763 0.20297619047619 0.201945412311266
temp_spectre.84 4.2e+07 4.3e+07 42500000.5 74 74 0.0732732732732733 0.19000819000819 0.167805167805168 0.172072072072072 0.169334840066547
temp_spectre.85 42500000 43500000 43000000.5 61 61 0.162841530054645 0.231246895181321 0.214195640425149 0.148633879781421 0.230212676834028
temp_spectre.86 4.3e+07 4.4e+07 43500000.5 71 71 0.189671361502347 0.212974818608621 0.197802197802198 0.132394366197183 0.219544911746904
temp_spectre.87 43500000 44500000 44000000.5 59 59 0.164595103578154 0.175398048279404 0.168932762153101 0.188700564971751 0.19488572609697
temp_spectre.88 4.4e+07 4.5e+07 44500000.5 50 50 0.177777777777778 0.203636363636364 0.21032967032967 0.234666666666667 0.218652729384437
temp_spectre.89 44500000 45500000 45000000.5 52 52 0.231623931623932 0.215034965034965 0.265004226542688 0.216666666666667 0.242227284910212
temp_spectre.90 4.5e+07 4.6e+07 45500000.5 62 62 0.229749103942652 0.254154447702835 0.232896136121943 0.241935483870968 0.256153759694279
temp_spectre.91 45500000 46500000 46000000.5 63 63 0.231393298059965 0.292448292448292 0.253793825222397 0.296296296296296 0.281787511752669
temp_spectre.92 4.6e+07 4.7e+07 46500000.5 60 60 0.252962962962963 0.266666666666667 0.276739926739927 0.277777777777778 0.27138985675571
temp_spectre.93 46500000 47500000 47000000.5 69 69 0.284057971014493 0.258014931927975 0.287306896002548 0.199033816425121 0.277584204413473
temp_spectre.94 4.7e+07 4.8e+07 47500000.5 91 91 0.247130647130647 0.283216783216783 0.27701968361309 0.185347985347985 0.276448290385573
temp_spectre.95 47500000 48500000 48000000.5 80 80 0.1975 0.271969696969697 0.237774725274725 0.1825 0.247314169570267
temp_spectre.96 4.8e+07 4.9e+07 48500000.5 53 53 0.206289308176101 0.25242995997713 0.225585735019697 0.133333333333333 0.233975412530406
temp_spectre.97 48500000 49500000 49000000.5 70 70 0.172698412698413 0.238961038961039 0.239874411302983 0.135238095238095 0.222067363530778
temp_spectre.98 4.9e+07 5e+07 49500000.5 61 61 0.165755919854281 0.238698460009935 0.227346424067736 0.163934426229508 0.214656994345119
temp_spectre.99 49500000 50500000 50000000.5 35 35 0.165079365079365 0.28008658008658 0.171114599686028 0.116190476190476 0.199933631989381
temp_spectre.100 5e+07 5.1e+07 50500000.5 47 47 0.178250591016548 0.245325596389426 0.174187514613047 0.116312056737589 0.206513949637977
temp_spectre.101 50500000 51500000 51000000.5 57 57 0.166861598440546 0.254385964912281 0.202236360131097 0.181286549707602 0.235568596287467
